"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity","Cluster"
"M. Sazonov",0.5,1,0,1,0.1,0,0,0.5,0.2,0.9,0.2,0,0,0,0,0,0.4,0.3,0.5,0.2,0.8,0.2,0.9,0.5,0.7,0.4,0.9,0.4,0,0,0.1,0.2,0.3,0.4,0.4,0.2,0.1,0.5,0.1,0.4,0.1,0.6,0.7,0.5,0.2,0,0.6,0.2,0.1,0.1,0,0,0,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0.1,0,0.8,0.8,0.9,0,0.8,0.6,0.3,0.4,0.9,0.3,0.6,0.3,1,0.5,0.2,0.3,1,0.8,0.7,0.2,1,0.6,0.4,0.4,6
"M. Semakin",0.6,0,0,0.3,0.2,0,0.1,0,0.1,0.8,0.6,0,0,0.2,0,0.4,0.4,0.3,0.5,0.2,0.9,0.4,0.9,0.7,0.7,0.6,0.9,0.8,0,0,0,0,0.3,0.2,0.3,0,0,0,0,0.3,0.2,0.6,0.5,0.5,0.2,0.1,0.5,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.8,0.7,0.8,0,0.7,0.7,0.3,0.1,0.5,0.7,0.5,0.3,0.4,0,0.2,0.2,0.6,0.7,0.3,0.1,0.4,0.1,0.2,0.2,12
"M. Shaymordanov",0.4,0.9,0.5,0.8,0.3,0.5,0.1,0.5,0.6,0.6,0.2,0.3,1,0.1,0,0,0.6,0.3,0.4,0.4,0.8,0.2,0.9,0.4,0.6,0.5,0.8,0.4,0.2,0.5,0.1,0.3,0.4,0.3,0.3,0.1,0.2,0,0.2,0.5,0.1,0.5,0.6,0.5,0.1,0.3,0.3,0.3,0.4,0.5,0.7,0.3,0.6,0.3,0.2,0.1,0.7,0.2,0,0,0.3,0.7,0.2,0.6,0.2,0.4,0.1,0.5,0,0.6,0.5,0.5,0.1,0.3,0.3,0.8,0,0.2,0.6,0.8,0,0.4,0.6,0.8,0,0.2,0.6,0.5,0.3,0.5,0.2,9
"M. Shiryaev",0.5,1,0,0.6,0.2,0,0.1,0.4,0.2,0.5,0.4,0.1,0,0,0,0,0.7,0.5,0.6,0.5,0.9,0.1,0.9,0.1,0.6,0.4,0.8,0.2,0,0,0,0.1,0.1,0.4,0.5,0.4,0,0.5,0,0.6,0.4,0.7,0.3,0.5,0,0.2,0.6,0,0.5,0,0.1,0.1,0.1,0.1,0,0.4,0.2,0.2,0,0,0.1,0,0,0,0,0.1,0.1,1,0.7,0.7,0.4,0.5,0.1,0.4,0.7,0.9,0.6,0.1,0.5,0.5,0.1,0.7,0.3,0.6,0,0.3,0.8,0.4,0.4,1,0.5,17
"M. Shorkin",0.6,1,0,0.5,0.2,0.5,0.1,0.2,0.2,0.7,0.5,0,0,0,0,0.1,0.7,0.4,0.6,0.5,0.9,0.2,1,0.2,0.8,0.6,0.9,0.5,0,0,0.1,0.3,0.3,0.4,0.5,0.3,0.1,0.3,0.1,0.6,0.4,0.7,0.4,0.6,0.3,0.2,0.4,0,0.3,0,0.1,0.1,0,0,0,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0,0.1,0,0.2,1,0.9,1,0.3,0.6,0.3,0.4,0.6,0.9,0.8,0.7,0,0.9,0.4,0.6,0.3,0.8,0.1,0.6,0.7,0.8,0.1,0.5,0.5,16
"M. Sidorov",0.1,1,0.1,1,0.1,0,0.2,0.5,0.2,0.5,0.1,0,0,0.1,0,0,0.4,0.3,0.5,0.1,0.8,0.1,0.9,0.4,0.6,0.1,0.8,0.2,0.4,1,0,0.1,0.3,0.2,0.3,0,0.1,0.8,0.1,0.2,0.1,0.6,0.6,0.4,0.2,0.2,0.5,0.3,0.4,0.1,0.1,0.1,0,0,0.2,0.3,0.3,0.2,0,0,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.8,0.7,0.7,0.1,0.7,0.1,0.2,0.2,0.9,0.6,1,0.7,0.5,0,0.1,0.5,0.5,0,0.3,0.4,0.7,0,0.2,0.4,10
"M. Sitdikov",0.6,0.9,0.5,0.8,0.3,0.4,0.2,0.4,0.5,0.5,0.4,0.3,0.7,0,0,0.1,0.4,0.3,0.5,0.5,0.8,0.1,1,0.2,0.6,0.4,0.8,0.3,0,0,0.2,0.3,0.4,0.5,0.7,0.1,0.3,0.3,0.3,0.6,0.3,0.6,0.4,0.8,0.1,0,0.6,0.1,0.4,0.4,0.2,0.3,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.8,0.9,0.9,0.1,0.9,1,0.8,0.2,0.9,0.6,0.5,0.3,0.7,0.4,1,0.2,0.9,1,0.8,0.4,0.7,0.5,0.8,0.4,6
"M. Smirnov",0.4,1,0,0.5,0.1,0,0,0,0,0.6,0.2,0,0,0,0,0,0.6,0.4,0.6,0.4,0.9,0.2,1,0.1,0.7,0.4,0.9,0.3,0,0,0.1,0.4,0.3,0.2,0.3,0.3,0.2,0.1,0.2,0.5,0.2,0.7,0.3,0.5,0,0.2,0,0,1,0,0.1,0.1,0,0,0,0.2,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0.9,0.2,0.9,0.4,0.8,0.5,0.8,0.7,0.6,0.1,0.1,0.5,0.7,0,0.4,0.7,0.4,0,0.3,0.6,0.5,0.5,1,0.6,17
"M. Solovyev",0.4,1,0.3,1,0.2,0.8,0.2,0.4,0.4,0.6,0.4,0.2,0,0,0,0,0.7,0.5,0.6,0.7,0.8,0.1,1,0.2,0.6,0.5,0.8,0.3,0,0,0.1,0.5,0.4,0.4,0.5,0.2,0.3,0.5,0.3,0.6,0.1,0.5,0.5,0.6,0.2,0.2,0.5,0.1,0.5,0.3,0.2,0.1,0,0,0,0.1,0.3,0.1,0,0,0.1,0,0,0,0,0.2,0,0.6,0.3,0.6,0.3,0.5,0.2,0.4,0.4,0.8,0.1,0.1,0.6,0.3,0,0.3,0.4,0.6,0.1,0.6,0.7,0.5,0,0.3,0.5,9
"M. Sultonov",0.3,1,0.4,0.9,0.4,0.2,0.2,0.5,0.6,0.5,0.3,0.7,0.4,0.3,0.3,0,0.7,0.4,0.5,0.4,0.9,0.2,1,0.6,0.7,0.5,0.9,0.5,0,0,0.1,0.4,0.4,0.3,0.3,0,0.1,0.4,0.1,0.5,0.2,0.6,0.6,0.5,0.6,0.5,0.5,0.3,0.3,0.7,0.5,0.8,0.4,0.7,0.1,0.4,0.7,0.9,0.1,0.2,0.4,0.2,0.3,0.4,0.7,0.4,0.6,0.8,0.6,0.8,0,0.9,1,0.5,0,0.9,0.5,0.6,0.1,0.8,0.4,0.3,0.2,0.9,0.7,0.3,0,0.8,1,0.7,0,14
"M. Tishkin",0.6,0.7,0.1,0.6,0.1,0,0.1,0.4,0.1,0.8,0.4,0.1,0,0,0.1,0.1,0.8,0.6,0.6,0.4,1,0.1,0,0,0.8,0.4,0.9,0.2,0,0,0,0,0,0.1,0.1,0,0,0,0,1,0,0,0,0.1,0.3,0.1,0.6,0.1,0.5,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,1,1,0.9,0.2,0.7,1,1,0.3,1,0.8,0.4,0.1,0.8,1,0.8,0.7,0.8,1,0.9,0.3,0.7,0.9,0.8,0.3,11
"M. Uridia",0.1,1,0.2,0.9,0.4,0.6,0.1,0.5,0.2,0.6,0.1,0.2,0.4,0.1,0,0.1,0.6,0.5,0.5,0.6,0.8,0.1,0.8,0.1,0.6,0.4,0.7,0.3,0,0,0.1,0.5,0.2,0.4,0.5,0.6,0,1,0,0.6,0.6,0.7,0.4,0.7,0.4,0.9,0.5,0.4,0.3,0.3,0.1,0.2,0.1,0.1,0.2,0.4,0.7,0.9,0,0,0.6,0.6,0.8,0.5,0.8,0.4,0.9,0.9,0.4,0.5,0.1,1,0.5,0.3,0,0.9,0.2,0.6,0.7,1,0.6,0.2,0.1,1,0.9,0.4,0.4,1,0.4,0.4,0,20
"M. Uzhgin",0.5,1,0.2,0.5,0.1,0,0.1,0.3,0.2,0.8,0.3,0.2,0,0,0,0.4,0.6,0.3,0.4,0.3,0.9,0.2,0.9,0.5,0.6,0.6,0.8,0.5,0,0,0.1,0.1,0.4,0.3,0.3,0.5,0.3,0,0.3,0.6,0.2,0.7,0.6,0.5,0.2,0,0.6,0.1,0.2,0.3,0.1,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.2,0.7,0.1,0.5,0.1,0.3,0.2,0.5,0.5,0.2,0.3,0.4,0.1,0.1,0.3,0.5,0.1,0.2,0.2,0.4,0,0.3,0.3,12
"M. Vasiljev",0.4,0,0,1,0.1,0,0,0,0,0.6,0.2,0.1,0,0,0,0,0.6,0.4,0.6,0.3,1,0.3,1,0.2,0.8,0.4,1,0.4,0,0,0,0.1,0.2,0.3,0.3,0.7,0,0,0,0.6,0.3,0.7,0.2,0.4,0.1,0.1,0.7,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.8,0.2,0.5,0,0.2,1,0.9,0.1,0.2,0.8,0.3,0.1,0.3,0.5,0.3,0,0.1,0.7,0.3,0,0.2,1,4
"M. Vasilyev",0.3,1,0.4,0,0.1,0,0.3,0.4,0.4,0.5,0.2,0.2,0,0.2,0,0,0.6,0.4,0.5,0.3,0.7,0.1,0.9,0.5,0.6,0.2,0.8,0.3,0,0,0,0,0.2,0.2,0.2,0,0.1,0,0,0.4,0.1,0.7,0.4,0.2,0.4,0.2,0.8,0.2,0.4,0.4,0,0,0,0,0,0.1,0.5,0.1,0,0,0.1,0,0,0,0,0.2,0,0.5,0,0.4,0.6,0.4,0,0.1,0.5,0.8,0,0.1,0.5,0.7,0,0,0.7,0.8,0,0.2,0.6,0.4,0.1,0.2,0.2,12
"M. Vityugov",0.6,1,0.4,0.9,0.2,0.2,0.2,0.5,0.5,0.8,0.7,0.2,0.2,0.1,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.6,0.1,0.5,0.3,0.5,0.9,0.1,0.3,0.1,0.3,0.3,0.4,0,0,0.2,0.1,0.1,0.2,0.3,0.3,0.3,0.7,0.2,0.8,0.4,0.7,0.6,0.5,0.2,1,0.3,0.5,0.3,0.8,0.1,0.8,0.4,0.8,0.1,0.5,0.8,0.9,0.8,0.9,0.6,2
"M. Zemskov",0.2,0.5,0.1,0.9,0.4,0.2,0.2,0.5,0.3,0.6,0.2,0.3,0.4,0.2,0,0,0.3,0.3,0.5,0.1,0.7,0.1,0.9,0.4,0.6,0.2,0.8,0.2,0,0,0.1,0.2,0.4,0.2,0.2,0,0,0,0,0.5,0.2,0.5,0.4,0.2,0.3,0.4,0.5,0.3,0.1,0.1,0.3,0.3,0,0,0.2,0.4,0.4,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,1,1,0.9,0.8,1,0.2,0.6,0.4,0.9,0.1,0.7,0.9,0.9,0.6,0,0.6,1,0.3,0.3,0.6,1,0.4,0.4,0.4,8
"M. Zhitnev",0.1,1,0,1,0.2,0.2,0.1,0.2,0.1,0.6,0.1,0.1,0.2,0.1,0,0.2,0.4,0.3,0.3,0.3,0.7,0.1,0.7,0.1,0.7,0.5,0.7,0.3,0,0,0.2,0.1,0.5,0.4,0.6,0,0.4,0.3,0.5,0.6,0.1,0.5,1,0.7,0,0.5,0.8,0.1,0.2,0,0.1,0.1,0.1,0.1,0.2,0.6,0.4,0.3,0.2,0.2,0.4,0.4,0.3,0.4,0.3,0.1,0.4,0.4,0,0.5,0.3,0.5,0,0.2,0.5,0.3,0,0.4,0.7,0.9,0,0.1,0.7,0.5,0,0.1,0.7,0.4,0,0.1,0.5,9
"N. Bakalyuk",0.7,0,0,0.8,0.2,0.1,0.1,0.6,0.2,0.8,0.7,0,0.2,0.1,0.1,0,0.7,0.6,0.4,0.7,0.9,0.1,0,0,0.5,0.4,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.1,0,0.6,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.9,0.7,1,0.1,1,1,0.5,0.4,1,0.9,0.6,0.3,1,0.2,0.6,0.3,1,0.4,1,0.4,0.9,0.4,1,0.4,11
"N. Bezlikhotnov",0.4,1,0.5,0.8,0.3,0.3,0.4,0.4,0.7,0.6,0.2,0.6,0.3,0.3,0,0,0.5,0.4,0.5,0.2,0.6,0.1,0.9,0.5,0.6,0.2,0.7,0.3,0,0,0.1,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.6,0.4,0.3,0.2,0.1,0.6,0.5,0.3,0.7,0.5,0.5,0.5,0.6,0.2,0.5,0.3,0.2,0,0,0.2,0.1,0.1,0.2,0.2,0.6,0.2,0.9,0.2,0.9,0,1,0.2,0.2,0.5,0.9,0.6,0.7,0.7,0.8,0.4,0.3,0.3,0.8,0.1,0.1,0.7,0.9,0.4,0.3,0.5,10
"N. Bochko",0.6,0.9,0.5,0.9,0.2,0,0.1,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0,0,0.7,0.4,0.6,0.4,0.9,0.3,1,0.2,0.8,0.7,0.9,0.6,0,0,0.1,0.5,0.3,0.5,0.5,0.4,0,0.3,0,0.6,0.3,0.5,0.3,0.5,0.3,0.1,0.5,0.2,0.4,0.5,0.2,0.2,0.1,0.1,0,0.4,0.1,0.1,0,0,0,0,0,0,0,0.2,0,0.6,0.2,0.7,0.2,0.6,0.1,0.7,0.3,0.9,0.5,0.6,0.3,0.9,0.4,1,0.3,0.9,0.7,0.6,0.4,0.6,0.1,0.6,0.4,16
"N. Boyarkin",0.2,0,0,1,0.4,1,0.2,0.3,0.3,0,0.1,0,1,0.2,0,0,0,0.1,1,0,0.4,0.1,0.9,0.4,0.4,0.2,0.6,0.2,0,0,0.2,0.1,0.8,0.2,0.2,0,0.4,0,0.5,0.1,0.2,0.3,0.8,0.5,0.3,0.3,0.3,0.4,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0.3,0.3,0.2,0,0.1,0.9,0.1,0,0.1,0.5,0.2,0,0,0.9,0.3,0,0,0.9,0.3,0,0,0.6,1
"N. Drozdov",0.4,0.9,0.1,0.8,0.2,0.2,0.1,0.5,0.3,0.7,0.5,0.1,0.3,0.1,0,0.1,0.4,0.3,0.4,0.3,0.9,0.2,1,0.3,0.7,0.4,0.9,0.4,0,0,0.2,0.4,0.3,0.3,0.4,0.1,0.1,0,0.1,0.6,0.4,0.5,0.4,0.5,0.1,0.1,0.6,0,0.3,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0.1,0.1,0.9,0.8,0.9,0.2,0.8,0.3,0.4,0.3,0.8,0.1,0.2,0.6,0.8,0.1,0.4,0.5,0.9,0,0.5,0.6,0.6,0.3,0.9,0.6,16
"N. GlushkovBaltika",0.3,1,0.2,1,0.5,0.1,0.2,0.5,0.4,0.6,0.2,0.1,0.3,0.5,0,0.4,0.2,0.2,0.4,0.1,0.8,0.2,1,0.4,0.7,0.2,0.9,0.3,0,0,0.2,0.1,0.4,0.2,0.3,0,0,0,0,0,0.1,0.6,0.7,0.4,0.4,0.4,0.5,0.8,0.3,0.2,0.1,0,0,0,0.1,0.5,0.4,0.2,0,0,0.3,0.3,0.2,0.2,0.2,0.7,0.2,0.4,0.2,0.5,0.4,0.5,0.1,0.2,0.1,0.3,0,0.4,0.6,0.6,0.1,0,1,0.6,0.3,0.3,0.3,0.5,0.7,0.7,0.1,10
"N. GlushkovChayka",0.2,1,0.1,0.8,0.4,0,0.1,0.8,0.2,0.7,0.1,0.2,0,0,0,0,0.7,0.4,0.6,0.5,1,0.3,0.8,0.2,0.8,0.6,0.9,0.5,0,0,0.1,0.4,0.2,0.4,0.5,0.3,0.1,0,0.1,0.6,0.3,0.8,0.4,0.6,0,0.3,0.2,0.2,0.2,0.1,0.1,0,0.3,0.1,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0.5,0,0.6,0.4,0.5,0.1,0.2,0.5,0.8,0.1,0.2,0.6,0.8,0,0.1,0.8,0.8,0,0.1,0.7,0.3,0.1,0.2,0.3,9
"N. Kakkoev",0.4,1,0.1,1,0.1,0,0.1,0.4,0.1,0.6,0.2,0,0,0,0,0,0.3,0.3,0.7,0.1,0.6,0.1,0.9,0.4,0.6,0.1,0.7,0.2,0,0,0.1,0.2,0.5,0.2,0.2,0,0.4,0.1,0.4,0.4,0.2,0.4,0.5,0.3,0.2,0.1,0.6,0.1,1,0,0.1,0.1,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0.9,0.7,1,0.1,1,0.3,0.6,0.4,0.6,0.2,0.3,0.1,0.9,0.1,0.3,0.6,0.7,0.4,0.5,0.5,0.6,0.2,0.4,0.2,18
"N. Kalinsky",0.6,0.9,0.3,0.9,0.4,0.6,0.2,0.7,0.4,0.8,0.6,0.3,0.4,0.1,0.2,0,0.7,0.3,0.6,0.4,0.9,0.2,0.9,0.6,0.7,0.4,0.9,0.5,0,0,0.1,0.4,0.3,0.2,0.3,0.1,0,0,0,0.5,0.1,0.6,0.3,0.3,0.2,0.2,0.6,0.1,0.5,0.3,0.5,0.8,0.2,0.4,0,0.3,0.5,0.7,0,0,0.1,0.1,0.2,0.1,0.2,0.2,0.2,1,1,0.9,0.1,1,1,1,0,1,0.9,1,0,1,0.5,0.5,0.4,1,1,0.7,0.5,1,1,1,0,14
"N. Markov",0.4,0.8,0.3,0.7,0.2,0.3,0.1,0.5,0.4,0.7,0.2,0.1,0.4,0.2,0,0,0.4,0.3,0.5,0.2,0.8,0.2,0.9,0.7,0.7,0.3,0.9,0.4,0,0,0.1,0.2,0.3,0.3,0.4,0.1,0.1,0,0.1,0.4,0.2,0.6,0.4,0.4,0.1,0.2,0.4,0.2,0.3,0.4,0.1,0.1,0,0,0.3,0.7,0.1,0,0.2,0.2,0,0.1,0.1,0.1,0.1,0.2,0,0.8,0.2,0.9,0.1,0.9,0.5,0.8,0.1,0.9,0.7,0.9,0.4,1,0.5,0.5,0.3,1,0.4,0.3,0.4,0.7,0.1,0.3,0.3,15
"N. Pokidyshev",0.6,0.5,0.1,0.8,0.2,0.8,0.1,0.4,0.2,0.7,0.5,0.1,0,0.1,0.2,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.1,0.4,0.1,0.1,0,0,0,0.3,0.7,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.6,0.2,0.8,0.3,0.7,0,0.4,0.7,0.8,0,0,0.6,0.8,0.1,0.4,0.4,0.8,0.1,0.7,0.5,0.6,0,0.7,0.8,2
"N. Prudnikov",0,0,0,1,0.4,0.8,0.2,0.4,0.2,0.7,0.1,0.2,0.8,0.2,0,0,0.1,0.2,0.7,0,0.7,0.1,0.9,0.3,0.7,0.1,0.8,0.2,0,0,0,0.1,0.2,0.1,0.1,0,0,0,0,0.4,0.4,0.5,0.2,0.1,0.1,0.7,0.4,0.1,0,0.1,0.3,0.2,0,0,0.1,0.3,0.2,0.1,0,0,0.2,0.2,0.1,0.2,0.1,0.2,0.1,0.8,0.2,0.7,0.2,0.8,0.1,0.1,0.3,0.9,0,0.6,0.5,0.7,0.3,0.1,0.5,0.8,0,0.1,0.8,0.9,0,0.1,0.8,8
"N. Radchenko",0.4,0,0,0.2,0.1,0,0,0.2,0,0.4,0.2,0,0,0,0,0,0.7,0.4,0.5,0.4,0.9,0.2,1,0.1,0.6,0.4,0.8,0.3,0,0,0.2,0.8,0.2,0.4,0.5,0.3,0.1,0,0.1,0.6,0.3,0.7,0.5,0.6,0,0.1,0.7,0.1,0,0,0.1,0.1,0.1,0.1,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0.1,0,1,0.6,1,0.2,1,0.3,0.4,0.6,1,0.2,0,0.8,0.4,0,0.3,0.8,0.2,0,0.4,0.7,0.5,0.1,0.7,0.7,19
"N. Razdorskikh",0.4,1,0,0.9,0.3,0.2,0.2,0.6,0.2,0.7,0.5,0.1,0.7,0.1,0,0,0.5,0.4,0.4,0.5,1,0.3,1,0.4,0.6,0.3,0.9,0.5,0,0,0,0,0.2,0.3,0.4,0.6,0.2,0,0.2,0.5,0.5,1,0.3,0.5,0.2,0,0.6,0.1,0.5,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.5,0.3,0.7,0.3,0.5,0.1,0.4,0.3,0.5,0.2,0.3,0.3,0.7,0.1,0.6,0.6,0.5,0.1,0.4,0.4,0.5,0.1,0.4,0.3,16
"N. Salamatov",0.4,1,0,0.8,0.2,0.1,0.3,0.3,0.2,0.6,0.5,0,0.2,0.2,0,0,0.6,0.4,0.6,0.4,0.9,0.2,1,0.2,0.7,0.3,0.9,0.3,0,0,0.2,0.3,0.3,0.4,0.4,0.1,0.2,0.2,0.1,0.7,0.3,0.7,0.5,0.6,0.3,0.2,0.6,0.2,0.2,0.1,0.8,0.5,0.4,0.3,0.2,0.2,0.3,0.1,0,0,0.1,0.3,0.2,0.3,0.2,0.2,0.1,0.8,0.1,0.7,0.3,0.7,0.1,0.2,0.5,0.9,0.1,0.6,0.5,1,0.4,0.3,0.5,0.9,0.2,0.3,0.5,0.9,0.3,0.6,0.4,10
"N. Sergeev",0.2,0.6,0.2,0.9,0.2,0.5,0.1,0.2,0.4,0.5,0.1,0.2,0.6,0.2,0,0.1,0.5,0.3,0.3,0.1,0.5,0.1,0.8,0.3,0.5,0.2,0.6,0.2,0,0,0,0.1,0.3,0.1,0.1,0,0.1,0,0.1,0.4,0.2,0.4,0.4,0.2,0.5,0.5,0.3,0.4,0.1,0.4,0.2,0.2,0,0,0.2,0.4,0.4,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.9,0.5,0.9,0,0.8,0.4,0.5,0.1,0.8,0.1,0.7,0.6,0.9,0.1,0.1,0.4,0.9,0.2,0.2,0.5,0.8,0.2,0.2,0.3,8
"N. Timoshin",0.6,1,0.1,0.7,0.1,0,0.1,0.2,0.2,0.6,0.6,0.2,1,0.1,0,0.2,0.8,0.4,0.4,0.4,0.9,0.3,0.9,0.3,0.7,0.5,0.9,0.5,0,0,0.1,0.2,0.2,0.4,0.4,0.3,0.1,0.3,0.1,0.7,0.3,0.6,0.4,0.5,0.3,0.1,0.7,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0,0.3,0.1,0,0,0,0,0,0,0,0,0.1,0,0.9,0.1,0.9,0.9,1,0.1,0.7,0.8,1,0.1,0.1,0.7,0.7,0.6,0.3,0.8,0.9,0.1,0.4,0.8,0.9,0.1,0.7,0.6,17
"N. Umyarov",0.5,1,0.2,1,0.6,0,0.5,0.6,0.5,0.8,0.7,0.5,0.3,0.5,0,1,0.6,0.3,0.5,0.2,0.9,0.3,0.9,0.4,0.8,0.5,0.9,0.6,0,0,0,0,0.6,0.5,0.5,0,0.3,0.5,0.3,0.4,0.2,0.7,0.6,0.7,0.5,0.1,0.4,0.2,1,0.1,0.6,0.2,0.4,0.1,0,0.1,0.6,0.1,0,0,0.1,0,0,0,0,0.2,0,0.3,0,0.4,0.3,0.3,0,0.1,0.6,0.8,0,0.1,0.6,0.8,0,0.1,0.6,0.8,0,0.4,0.5,0.8,0,0.3,0.6,9
"N. Zamaliev",0.7,1,0.1,0.9,0.3,0.3,0.2,0.5,0.2,0.8,0.8,0.1,0.6,0.1,0.2,0,0.5,0.4,0.4,0.2,0.6,0.1,0.9,0.5,0.6,0.3,0.7,0.3,0,0,0.2,0.4,0.4,0.1,0.2,0,0.2,0.3,0.2,0.2,0.1,0.5,0.5,0.3,0.1,0.1,0.7,0,0.4,0.1,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.9,0.2,1,0.1,1,0.1,0.2,0.7,1,0.3,0.5,0.6,0.5,0.2,0.5,0.4,0.7,0.2,0.6,0.8,0.9,0.2,0.6,0.7,18
"N. Zaytsev",0.7,1,0,0.8,0.2,0.4,0.2,0.4,0.1,0.6,0.6,0.1,1,0,0.1,0,0.7,0.5,0.5,0.7,0.9,0.2,0.9,0.1,0.6,0.6,0.8,0.4,0,0,0.1,0.2,0.2,0.4,0.4,0.4,0.1,0.3,0.1,0.7,0.3,0.7,0.4,0.5,0.1,0.1,0.5,0,1,0,0,0.1,0,0,0.5,0.5,0.1,0.1,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.8,0.2,0.9,0.2,0.9,0.2,0.7,0.8,0.9,0.3,0.2,0.3,0.8,0.3,0.5,0.5,0.6,0.1,0.5,0.8,0.9,0.5,1,0.6,17
"Nailson",0.7,0,0,0.8,0.1,0.7,0.1,0.2,0.1,0.8,0.6,0,0.5,0,0,0,0.4,0.3,0.7,0.2,0.7,0.2,0.9,0.5,0.7,0.4,0.8,0.4,0,0,0,0.1,0.3,0.2,0.2,0,0.2,0.2,0.1,0.6,0.1,0.5,0.2,0.3,0.4,0.1,0.8,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0.1,0.1,0.1,0.1,0,0,0.6,0.4,0.8,0.3,0.5,0,0.2,0.5,0.6,0.1,0.2,0.3,0.6,0.3,0.8,0.7,0.5,0.1,0.8,0.6,0.4,0,0.6,0.6,19
